ID_MARKET,LM_TNAME,LM_ENAME,CODE_ID,GROUP_ID,GROUP_TNAM,GROUP_ENAM,ADMIN_CODE,TAM_CODE,TAM_TNAME,TAM_ENAME,AMP_CODE,AMP_TNAME,AMP_ENAME,PROV_CODE,PROV_TNAME,PROV_ENAME,REG_CODE,REG_TNAME,REG_ENAME,POSTCOD,CNTRY_CODE,CNTRY_TNAM,CNTRY_ENAM,LAT,LONG
12084,ตลาดจันทร์ประวิทย์,Chan Prawit Market,14000,14,ตลาด,Market,6604010901,1,ดุสิต,Dusit,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.7688,100.505171
11985,ตลาดน้อย,Noi Market,14000,14,ตลาด,Market,6604014402,2,ตลาดน้อย,Talat Noi,44,สัมพันธวงศ์,Samphanthawong,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10100,66,ไทย,Thailand,13.733876,100.5135
12150,ตลาดมะลิทอง,Malithong Market,14000,14,ตลาด,Market,6604011301,1,ตลาดพลู,Talat Phlu,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.719735,100.472618
11989,ตลาดยอดบางลำภู,Yot Banglamphu Market,14000,14,ตลาด,Market,6604013202,2,ตลาดยอด,Talat Yot,32,พระนคร,Phra Nakhon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10200,66,ไทย,Thailand,13.761202,100.498715
11998,ตลาดบางลำภู,Bang Lam Phu Market,14000,14,ตลาด,Market,6604013202,2,ตลาดยอด,Talat Yot,32,พระนคร,Phra Nakhon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10200,66,ไทย,Thailand,13.76079,100.49929
12079,ตลาดสส.,Parliamentarian Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.792257,100.525426
12080,ตลาดนครไชยศรี,Nakhonchaisri Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.785721,100.512226
12081,ตลาดศรีย่าน,Sriyan Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.784868,100.512092
12082,ตลาดราชวัตร,Ratchawat Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.777896,100.523934
12085,ตลาดนครชัยศรี,Nakhon Chaisi Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.785306,100.51229
42815,ตลาดสดบางกระบือ,Bang Kra Bu Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.790414,100.515606
42816,ตลาดวัดจันทร์,Wat Chan Association Market,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.791113,100.514263
70853,ตลาดท่าเรือคลองเตย 1,Talat Tharuea Khlong Toei 1,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.784881,100.512024
70854,ตลาดท่าเรือคลองเตย 3,Talat Tharuea Khlong Toei 3,14000,14,ตลาด,Market,6604010902,2,ถนนนครไชยศรี,Thanon Nakhon Chai Si,9,ดุสิต,Dusit,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10300,66,ไทย,Thailand,13.777974,100.523938
11976,ตลาดประตูน้ำ,Pratunam Market,14000,14,ตลาด,Market,6604013601,1,ถนนพญาไท,Thanon Phaya Thai,36,ราชเทวี,Ratchathewi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.752423,100.540138
42797,ตลาดเฉลิมลาภประตูน้ำ,Chaloem Lap Pratunam Market,14000,14,ตลาด,Market,6604013601,1,ถนนพญาไท,Thanon Phaya Thai,36,ราชเทวี,Ratchathewi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.750636,100.540722
42798,ตลาดเฉลิมลาภ,Chalaem Lap Market,14000,14,ตลาด,Market,6604013601,1,ถนนพญาไท,Thanon Phaya Thai,36,ราชเทวี,Ratchathewi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.750265,100.540871
11973,ตลาดสดกิ่งเพชร,Kingphet Market,14000,14,ตลาด,Market,6604013602,2,ถนนเพชรบุรี,Thanon Phetchaburi,36,ราชเทวี,Ratchathewi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.753008,100.529159
12070,ตลาดศาลาแดง,Saladaeng Market,14000,14,ตลาด,Market,6604011101,1,ทวีวัฒนา,Thawi Watthana,11,ทวีวัฒนา,Thawi Watthana,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10170,66,ไทย,Thailand,13.752287,100.351773
12034,ตลาดทรัพย์สมบูรณ์,Sapsombun Market,14000,14,ตลาด,Market,6604011201,1,ทุ่งครุ,Thung Khru,12,ทุ่งครุ,Thung Khru,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10140,66,ไทย,Thailand,13.627705,100.504054
11972,ตลาดกลาง,Central Market,14000,14,ตลาด,Market,6604013603,3,ทุ่งพญาไท,Thung Phaya Thai,36,ราชเทวี,Ratchathewi,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.761392,100.529616
42800,ตลาดสวนพลู,Suanplu Market,14000,14,ตลาด,Market,6604014501,1,ทุ่งมหาเมฆ,Thung Maha Mek,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.71911,100.538326
12011,ตลาดเยาวราช,Yaowarat Market,14000,14,ตลาด,Market,6604014502,2,ทุ่งวัดดอน,Thung Wat Don,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.709263,100.530733
12180,ตลาดแก่นจันทร์,Kaen Chan Market,14000,14,ตลาด,Market,6604014502,2,ทุ่งวัดดอน,Thung Wat Don,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.707301,100.519693
12181,ตลาดสะพานสาม,Saphan Sam Market,14000,14,ตลาด,Market,6604014502,2,ทุ่งวัดดอน,Thung Wat Don,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.706137,100.52735
70909,ตลาดสายทิพย์,Talat Sai Thip,14000,14,ตลาด,Market,6604014502,2,ทุ่งวัดดอน,Thung Wat Don,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.705924,100.527133
70928,ตลาดอุดมสุขพัฒนา,Talat Udom Suk Phatthana,14000,14,ตลาด,Market,6604014502,2,ทุ่งวัดดอน,Thung Wat Don,45,สาทร,Sathon,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.707302,100.519802
